%time core_I mic_click_I battery
0 0 0 0
0.001 0.311711433705475 0 1
0.002 0.288522219452037 0 1
0.003 0.2915476087387 0 1
0.004 0.288087480070226 0.16 0.999999999419741
0.005 0.243444444444444 0.16 0.999999998302523
0.006 0.243444444444444 0.16 0.999999996738245
0.007 0.243444444444444 0.16 0.999999994690195
0.008 0.243444444444444 0.16 0.999999992733136
0.009 0.243444444444444 0.16 0.999999990860473
0.01 0.243444444444444 0.16 0.999999988987804
0.011 0.243444444444444 0.16 0.999999987115135
0.012 0.243444444444444 0.16 0.999999985242465
0.013 0.243444444444444 0.16 0.999999983369796
0.014 0.243444444444444 0.16 0.999999981497127
0.015 0.243444444444444 0.16 0.999999979624457
0.016 0.243444444444444 0.16 0.999999977751788
0.017 0.243444444444444 0.16 0.999999975879118
0.018 0.243444444444444 0.16 0.999999974006449
0.019 0.243444444444444 0.16 0.99999997213378
0.02 0.243444444444444 0.16 0.99999997026111
0.021 0.243444444444444 0.16 0.999999968388441
0.022 0.243444444444444 0.16 0.999999966515772
0.023 0.243444444444444 0.16 0.999999964643102
0.024 0.243444444444444 0.16 0.999999962770433
0.025 0.243444444444444 0.16 0.999999960897764
0.026 0.243444444444444 0.16 0.999999959025094
0.027 0.243444444444444 0.16 0.999999957152425
0.028 0.243444444444444 0.16 0.999999955279756
0.029 0.243444444444444 0.16 0.999999953407086
0.03 0.243444444444444 0.16 0.999999951534417
0.031 0.243444444444444 0.16 0.999999949661748
0.032 0.243444444444444 0.16 0.999999947789078
0.033 0.243444444444444 0.16 0.999999945916409
0.034 0.243444444444444 0.12 0.999999944043739
0.035 0.243444444444444 0.12 0.99999994217107
0.036 0.243444444444444 0.12 0.999999940419814
0.037 0.243444444444444 0.12 0.999999938789962
0.038 0.243444444444444 0.12 0.999999937160102
0.039 0.243444444444444 0.12 0.999999935530243
0.04 0.243444444444444 0.12 0.999999933900384
0.041 0.243444444444444 0.12 0.999999932270524
0.042 0.243444444444444 0.12 0.999999930640665
0.043 0.243444444444444 0.12 0.999999929010805
0.044 0.243444444444444 0.12 0.999999927380946
0.045 0.243444444444444 0.12 0.999999925751086
0.046 0.243444444444444 0.12 0.999999924121227
0.047 0.243444444444444 0.12 0.999999922491367
0.048 0.243444444444444 0.12 0.999999920861508
0.049 0.243444444444444 0.12 0.999999919231648
0.05 0.243444444444444 0.12 0.999999917601789
0.051 0.243444444444444 0.12 0.999999915971929
0.052 0.243444444444444 0.12 0.99999991434207
0.053 0.243444444444444 0.12 0.99999991271221
0.054 0.243444444444444 0.12 0.999999911082351
0.055 0.243444444444444 0.12 0.999999909452492
0.056 0.243444444444444 0.12 0.999999907822632
0.057 0.243444444444444 0.12 0.999999906192773
0.058 0.243444444444444 0.12 0.999999904562913
0.059 0.243444444444444 0.12 0.999999902933054
0.06 0.243444444444444 0.12 0.999999901303194
0.061 0.243444444444444 0.12 0.999999899673335
0.062 0.243444444444444 0.12 0.999999898043475
0.063 0.243444444444444 0.12 0.999999896413616
0.064 0.288734228155317 0.16 0.999999894783756
0.065 0.243444444444444 0.16 0.999999893153897
0.066 0.243444444444444 0.16 0.999999891402623
0.067 0.243444444444444 0.16 0.999999889444318
0.068 0.243444444444444 0.16 0.999999887486028
0.069 0.243444444444444 0.16 0.999999885613365
0.07 0.243444444444444 0.16 0.999999883740696
0.071 0.243444444444444 0.16 0.999999881868027
0.072 0.243444444444444 0.16 0.999999879995357
0.073 0.243444444444444 0.16 0.999999878122688
0.074 0.243444444444444 0.16 0.999999876250019
0.075 0.243444444444444 0.16 0.99999987437735
0.076 0.243444444444444 0.16 0.99999987250468
0.077 0.243444444444444 0.16 0.999999870632011
0.078 0.243444444444444 0.16 0.999999868759342
0.079 0.243444444444444 0.16 0.999999866886673
0.08 0.243444444444444 0.16 0.999999865014004
0.081 0.243444444444444 0.16 0.999999863141334
0.082 0.243444444444444 0.16 0.999999861268665
0.083 0.243444444444444 0.16 0.999999859395996
0.084 0.243444444444444 0.16 0.999999857523327
0.085 0.243444444444444 0.16 0.999999855650657
0.086 0.243444444444444 0.16 0.999999853777988
0.087 0.243444444444444 0.16 0.999999851905319
0.088 0.243444444444444 0.16 0.99999985003265
0.089 0.243444444444444 0.16 0.99999984815998
0.09 0.243444444444444 0.16 0.999999846287311
0.091 0.243444444444444 0.16 0.999999844414642
0.092 0.243444444444444 0.16 0.999999842541973
0.093 0.243444444444444 0.16 0.999999840669303
0.094 0.243444444444444 0.12 0.999999838796634
0.095 0.243444444444444 0.12 0.999999836923965
0.096 0.243444444444444 0.12 0.999999835172708
0.097 0.243444444444444 0.12 0.999999833542857
0.098 0.243444444444444 0.12 0.999999831912997
0.099 0.243444444444444 0.12 0.999999830283138
0.1 0.243444444444444 0.12 0.999999828653279
0.101 0.243444444444444 0.12 0.999999827023419
0.102 0.243444444444444 0.12 0.99999982539356
0.103 0.243444444444444 0.12 0.999999823763701
0.104 0.243444444444444 0.12 0.999999822133841
0.105 0.243444444444444 0.12 0.999999820503982
0.106 0.243444444444444 0.12 0.999999818874123
0.107 0.243444444444444 0.12 0.999999817244263
0.108 0.243444444444444 0.12 0.999999815614404
0.109 0.243444444444444 0.12 0.999999813984545
0.11 0.243444444444444 0.12 0.999999812354685
0.111 0.243444444444444 0.12 0.999999810724826
0.112 0.243444444444444 0.12 0.999999809094966
